countyFIPS,state,county,health_outcomes,health_factors
01001,Alabama,Autauga,7,11
01003,Alabama,Baldwin,2,3
01005,Alabama,Barbour,33,58
01007,Alabama,Bibb,40,29
01009,Alabama,Blount,22,16
01011,Alabama,Bullock,58,66
01013,Alabama,Butler,62,56
01015,Alabama,Calhoun,38,31
01017,Alabama,Chambers,49,47
01019,Alabama,Cherokee,23,23
01021,Alabama,Chilton,27,25
01023,Alabama,Choctaw,47,40
01025,Alabama,Clarke,43,54
01027,Alabama,Clay,15,36
01029,Alabama,Cleburne,36,21
01031,Alabama,Coffee,6,7
01033,Alabama,Colbert,20,10
01035,Alabama,Conecuh,56,61
01037,Alabama,Coosa,55,46
01039,Alabama,Covington,41,27
01041,Alabama,Crenshaw,14,39
01043,Alabama,Cullman,16,20
01045,Alabama,Dale,12,18
01047,Alabama,Dallas,63,60
01049,Alabama,DeKalb,26,45
01051,Alabama,Elmore,8,12
01053,Alabama,Escambia,46,53
01055,Alabama,Etowah,45,42
01057,Alabama,Fayette,17,22
01059,Alabama,Franklin,37,37
01061,Alabama,Geneva,31,50
01063,Alabama,Greene,64,65
01065,Alabama,Hale,59,57
01067,Alabama,Henry,18,13
01069,Alabama,Houston,19,17
01071,Alabama,Jackson,30,41
01073,Alabama,Jefferson,24,8
01075,Alabama,Lamar,51,19
01077,Alabama,Lauderdale,10,4
01079,Alabama,Lawrence,34,43
01081,Alabama,Lee,3,6
01083,Alabama,Limestone,5,5
01085,Alabama,Lowndes,67,64
01087,Alabama,Macon,57,59
01089,Alabama,Madison,4,2
01091,Alabama,Marengo,50,51
01093,Alabama,Marion,28,28
01095,Alabama,Marshall,25,30
01097,Alabama,Mobile,29,35
01099,Alabama,Monroe,54,55
01101,Alabama,Montgomery,21,26
01103,Alabama,Morgan,11,14
01105,Alabama,Perry,66,63
01107,Alabama,Pickens,42,34
01109,Alabama,Pike,35,52
01111,Alabama,Randolph,32,33
01113,Alabama,Russell,44,44
01115,Alabama,St. Clair,9,15
01117,Alabama,Shelby,1,1
01119,Alabama,Sumter,65,62
01121,Alabama,Talladega,52,38
01123,Alabama,Tallapoosa,48,32
01125,Alabama,Tuscaloosa,13,9
01127,Alabama,Walker,60,24
01129,Alabama,Washington,53,48
01131,Alabama,Wilcox,61,67
01133,Alabama,Winston,39,49
02013,Alaska,Aleutians East,NR,NR
02016,Alaska,Aleutians West,17,7
02020,Alaska,Anchorage,10,2
02050,Alaska,Bethel,21,22
02060,Alaska,Bristol Bay,14,14
