,countyFIPS,state,county,PVI,pop_density,avg_household_size,share_granpa_house,healthcare_prof_pc,health_factors,pres_vote_average,Years of Potential Life Lost Rate,% Fair or Poor Health,% Low Birthweight,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,# Driving Deaths,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,% Uninsured,Primary Care Physicians Ratio,Dentist Ratio,Mental Health Provider Ratio,Preventable Hospitalization Rate,% With Annual Mammogram,% Vaccinated (Flu),High School Graduation Rate,% Some College,% Unemployed,Income Ratio,% Single-Parent Households,Social Association Rate,Violent Crime Rate,Injury Death Rate,Average Daily PM2.5 (Air pollution),Presence of Water Violation,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,Life Expectancy,Age-Adjusted Death Rate,Child Mortality Rate,Infant Mortality Rate,% Adults with Diabetes,HIV Prevalence Rate,% Food Insecure,% Limited Access to Healthy Foods,Drug Overdose Mortality Rate,Motor Vehicle Mortality Rate,% Insufficient Sleep,% Uninsured (Children),Other Primary Care Provider Ratio,% Disconnected Youth,Average Grade Performance,Median Household Income,% Enrolled in Free or Reduced Lunch,Segregation index (Black/White),Segregation Index (White/Not-White),Homicide Rate,Suicide Rate (Age-Adjusted),Firearm Fatalities Rate,Juvenile Arrest Rate,Average Traffic Volume per Meter of Major Roadways,% Homeowners,% Severe Housing Cost Burden,% less than 18 years of age,% 65 and over,% Black,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Non-Hispanic White,% Not Proficient in English,% Female,% Rural,2016_senate_vote_split
0,20173,Kansas,Sedgwick,17.96297598,0.767010329,1.770739094,-0.250766749,0.892810234,0.046752667,0.362077738,-0.092526221,4.656404613,1.482074388,-5.165902202,-1.276377294,-0.418184436,0.729742779,-0.096919832,0.751945729,-0.55767555,-0.285455983,0.227467253,-0.28622903,-0.009384172,-0.022117663,0.02725446,0.126238495,0.807868937,1.082488444,0.634898126,-2.263735308,1.033535533,4.165545675,2.146042835,0.012206534,-0.666263134,-1.219790015,0.450189435,0,1.461436467,-0.550415596,0.089356256,-1.268672102,2.045368324,-0.144640175,-0.652618457,-0.130189293,0.54088746,-4.875952365,0.000542771,-0.173362394,0.262940806,-1.285113659,0.305708035,0,0.205680415,-0.006107784,-1.320873409,-0.947193203,0.357678649,1.224393925,-0.019865886,-0.36202915,-0.3988524,0.033766493,0.379025186,3.710784182,-0.490855882,2.88502792,1.430561314,1.41861754,0.117062781,0.192198913,-0.016304644,1.177596722,0.35822192,2.905474385,-0.058273793,-0.265416553
1,20157,Kansas,Republic,16.70742502,0.13414693,1.331992211,-0.205114045,1.074089917,0.01773377,1.102053435,-0.103379197,4.60591815,1.631075304,-4.624560448,-1.337157165,-0.441416904,0.85565918,-0.053634218,0.708240294,-0.005849744,0,0,-0.096602298,-0.009555238,-0.064878479,0.140925501,0.251349022,0.788633962,1.060838675,0.658959058,-2.368229279,0.748839686,3.427447735,0.748819967,0.041852807,-0.155722624,-1.915138741,0.360151548,0.210862336,0.848489494,-0.548931423,0.125565981,-1.264491698,2.17056693,0,0,-0.073692053,0,-4.345957543,0.000451393,0,0.679877308,-1.057908848,0.424866615,0,0,-0.006377559,-1.137786453,-0.864123336,0,0,0,0,0,0.114156722,0.050031725,4.340142881,-0.330640546,2.33125843,2.736734468,0.10794713,0.033968741,0.026247258,-0.003686844,1.648348923,0.036343258,2.908562152,-0.760889194,-0.736905238
2,20065,Kansas,Graham,17.3295592,0.012975034,1.350219509,0,0.994759172,0.017196383,1.058353787,0,4.087653586,1.265834515,-4.602340711,-1.15101881,-0.447225022,0.981575581,-0.080193164,0.687138867,0,0,0,-0.121647338,-0.020324227,-0.034664916,0,0.256988866,0.961748734,0.77939168,0.746665034,-2.243117783,0.874850743,3.664167646,0.946280623,0.029508745,-0.106488121,-1.658480813,0.306128816,0,1.099257644,-0.484553573,0.076507644,-1.235402679,2.416418681,0,0,-0.186686534,0,-4.522622484,0.000333551,0,0,-1.118598116,0.526483228,0,0,-0.006710092,-0.981758413,-0.858483938,0,0.422771504,0,0,0,0,0.122403983,4.628050949,-0.426271066,2.181578916,2.707478341,0.56047773,0.070639472,0.089778495,0,1.524753832,0.030316754,2.898348143,-0.760889194,-0.747663551
3,20045,Kansas,Douglas,14.67529399,0.669363937,1.627822834,-0.134640088,0.888865632,0.010210352,-0.411310071,-0.061339646,4.206867562,1.353601474,-5.040618983,-1.059849003,-0.423992553,0.489356923,-0.10360528,1.098817456,-0.070196922,-0.45355784,0.277896314,-0.069768326,-0.00936788,-0.023786921,0.020244444,0.144614985,0.980983709,1.234036826,0.654302103,-2.824345123,0.833564177,4.84179944,1.593112325,0.011377486,-0.206808459,-0.860882924,0.441185646,0,2.166728567,-0.505247251,0.166447928,-1.315378613,1.425184537,-0.098681823,-0.511365026,-0.079833057,0.242687281,-5.617945117,0.000229255,-0.108674504,0.15377329,-1.082352726,0.268147682,0,0.090138634,-0.006812863,-1.338186431,-0.585654394,0.168608718,0.715674369,-0.008840376,-0.324795928,-0.235848596,0.031202837,0.449844602,3.023493384,-0.7207445,2.043159192,1.214693899,0.711896668,0.234472717,0.210688736,-0.016000896,1.359590542,0.13018622,2.884648319,-0.083794891,0.255776987
4,20179,Kansas,Sheridan,16.84849862,0.011150971,1.464550153,-0.152830073,0.817813544,0.015584222,1.280672681,0,4.318142004,1.256936897,-4.542787849,-0.900301842,-0.47045749,0.746913198,-0.071639641,0.755147664,-0.017549231,-0.604743787,0,0,-0.020584899,-0.035235246,0,0.389713181,0.865573861,0.77939168,0.746665034,-2.368875981,0.623562348,3.088693215,2.066321837,0.038846759,-0.107946862,-1.312178604,0.301626921,0,0.651639932,-0.458100193,0.101036812,-1.355881121,1.203123185,0,0,-0.094571468,0,-3.321300887,0.000499655,0,0,-1.074457132,1.069288273,0,0,-0.006272837,-1.184337161,-0.633158401,0,0,0,0,0,0,0.095443435,4.299298665,-0.395903792,2.824735882,2.27423105,0.070528629,0.052122058,0.018331668,-0.006788567,1.603550633,0.055909586,2.858245245,-0.760889194,-0.796759941
5,20069,Kansas,Gray,17.39218787,0.143099804,1.876319912,-0.224235758,0.698929406,0.004299096,1.17636771,-0.070542792,4.244321603,0.90060201,-4.407193825,-1.177610004,-0.458841256,0.852797444,-0.052183934,0.874756861,-0.02144906,-0.123697593,0.045025947,-0.096602298,-0.048533766,0,0.364581281,0.12534552,0.769398987,0.627843297,0.755202783,-1.984194546,0.538972315,2.876131527,1.199755205,0.026773978,-0.144015182,-1.194783116,0.333140182,0,0.943297241,-0.527635609,0.114469452,-1.299745115,1.579555405,0,0,-0.114222682,0,-3.038636981,0.000703377,0,0.534845178,-1.068683337,0.857093669,0,0,-0.007248898,-1.540858889,-0.691436963,0,0,0,0,0,0.02853918,0.101680674,4.405315261,-0.192382595,3.25634258,1.487870024,0.107679893,0.053980125,0.018891869,-0.005700461,1.408960405,0.454890615,2.855731901,-0.760889194,-0.744660194
6,42023,Pennsylvania,Cameron,17.1834817,0.220226276,1.350219509,-0.751722313,0.308720455,0.022032866,0.604305065,0,4.619629431,1.533621119,-5.362530913,-0.949685487,-0.458841256,0.789839243,-0.106172472,0.812218494,-0.005849744,-0.45355784,0.041730431,-0.24866147,-0.037406353,-0.012491611,0.271456839,0.240022337,0.865573861,0.930940062,0.696959173,-1.871176953,1.372899229,3.675269813,3.063823283,0.029394146,-0.116201488,-1.292322711,0.400668597,0,1.093522388,-0.519793218,0.130238203,-1.287831546,1.856713609,0,0,-0.137558498,0,-4.663954436,0.000170406,0,0,-1.2702117,0.24896896,0,0,-0.00739287,-0.978572255,-0.617505991,0,0,0,0,0,0.033295711,0.229438025,4.251065099,-0.390880061,1.955422507,2.685614276,0.148235443,0.037228826,0.016915204,-0.011484043,1.664321158,0.019633579,2.875272123,-0.360318816,-0.370009285
7,42017,Pennsylvania,Bucks,18.82231753,0.868872664,1.785166064,-0.244381165,1.192763968,0.001074774,-0.067422199,-0.07294734,3.578232783,1.448834135,-4.358408474,-1.021861584,-0.51111431,0.51511255,-0.101485277,0.833061557,-0.501128029,-0.41826151,0.087446137,-0.058140272,-0.0095308,-0.016706486,0.024837213,0.211259135,0.90404381,1.234036826,0.726260793,-2.484226941,1.02100441,4.038139813,1.376823515,0.009530034,-0.088474482,-1.149830215,0.454691329,0.210862336,1.6227164,-0.536034499,0.253468073,-1.30519901,1.544819944,-0.072312128,-0.356943539,-0.099484271,0,-2.826639052,0.000205375,-0.403745196,0.192086394,-1.345004834,0.202673297,0,0.085216999,0,-2.074235823,-0.463787536,0.327033478,1.050150684,-0.00583879,-0.237936328,-0.172687165,0.023198256,0.544721903,4.464145975,-0.576757001,2.292563388,1.838107773,0.647802389,0.025037765,0.216508798,-0.010292163,1.453805738,0.246527723,2.927473236,-0.06718349,-0.053583423
8,42077,Pennsylvania,Lehigh,20.24506929,0.870836769,1.756199851,-0.283325261,0.941534684,0.012897287,-0.121088538,-0.073859302,5.25146222,1.512465215,-5.561596201,-1.185207488,-0.493689959,0.58665596,-0.093182814,0.890476437,-0.304186664,-0.392501977,0.176808273,-0.194099061,-0.008007501,-0.016150067,0.032572403,0.219906895,0.942513759,1.212387057,0.678159195,-2.142441305,1.256169198,4.108042131,2.341564848,0.012890326,-0.212401146,-1.208486373,0.504212167,0.210862336,1.800416167,-0.524774033,0.168784039,-1.300134207,1.619116556,-0.106637228,-0.577869409,-0.146155905,0,-3.391966863,0.000230017,-0.300570362,0.186158144,-1.313101008,0.274258875,0,0.17189929,-0.006499768,-1.455769723,-0.87141709,0.31630459,1.268587944,-0.013655111,-0.303559864,-0.273884479,0.042318407,0.66174715,3.781126896,-0.588716709,2.539028937,1.648221803,0.942152855,0.081775983,0.160583071,-0.027794858,1.100897318,0.580274935,2.93560519,-0.060305613,0.006347025
9,42031,Pennsylvania,Clarion,16.46441656,0.466485974,1.612122882,-0.169372164,1.023852541,0.024719801,0.615814963,-0.083525192,4.872727489,1.223914634,-5.88660768,-1.261182327,-0.464649373,0.778392298,-0.06190813,0.891398166,-0.054597606,-0.291572897,0.081698144,-0.101074626,-0.016487469,-0.031729805,0.045927693,0.242184277,0.865573861,0.909290293,0.70727916,-1.919034469,1.28783215,4.117728791,1.721698064,0.019782221,-0.117480984,-1.054975471,0.490706484,0,1.397839601,-0.53744733,0.171704178,-1.279482627,1.843088951,-0.156382798,-0.68904136,-0.178089127,0,-4.734620413,0.000116884,-0.214459653,0.298331767,-1.277596821,0.332419788,0,0.245502764,0,-1.084324593,-0.693892342,0.323716982,0.799422527,0,-0.338310038,-0.416020727,0.014990277,0.202917168,4.022277857,-0.436551622,2.095055168,1.933950314,0.201026161,0.021562171,0.03080593,-0.004434215,1.664459339,0.068087251,2.935403784,-0.582540329,-0.365663514
